Treatments,Observations
MP only,5.85212837
MP only,3.476618129
MP only,6.597026117
MP only,3.743701605
MP only,4.142099014
MP only,4.271590228
MP only,4.240745108
MP only,4.227230891
MP only,4.825874223
MP only,6.828156622
MP+ HDMTX,6.870082157
MP+ HDMTX,6.04268723
MP+ HDMTX,6.979350995
MP+ HDMTX,4.017948212
MP+ HDMTX,4.168082239
MP+ HDMTX,6.553890063
MP+ HDMTX,6.82838492
MP+ HDMTX,5.909742006
MP+ HDMTX,5.813471564
MP+ HDMTX,4.542612384
MP+ LDMTX,4.717663956
MP+ LDMTX,3.284097147
MP+ LDMTX,5.521225194
MP+ LDMTX,5.288484747
MP+ LDMTX,4.273035733
MP+ LDMTX,5.529552736
MP+ LDMTX,4.166477785
MP+ LDMTX,6.02433796
MP+ LDMTX,3.182724459
MP+ LDMTX,5.709790244
